Time_ms,Absolute_Displacement_nm
0.000,-997204796.083
1.000,-997204796.083
2.000,-997204796.083
3.000,-997204875.206
4.000,-997204875.206
5.000,-997204796.083
6.000,-997204796.083
7.000,-997204716.959
8.000,-997204716.959
9.000,-997204796.083
10.000,-997204796.083
11.000,-997204875.206
12.000,-997204875.206
13.000,-997204796.083
14.000,-997204796.083
15.000,-997204796.083
16.000,-997204716.959
17.000,-997204796.083
18.000,-997204796.083
19.000,-997204796.083
20.000,-997204875.206
21.000,-997204796.083
22.000,-997204796.083
23.000,-997204796.083
24.000,-997204796.083
25.000,-997204796.083
26.000,-997204796.083
27.000,-997204796.083
28.000,-997204875.206
29.000,-997204796.083
30.000,-997204796.083
31.000,-997204796.083
32.000,-997204796.083
33.000,-997204796.083
34.000,-997204796.083
35.000,-997204796.083
36.000,-997204875.206
37.000,-997204875.206
38.000,-997204796.083
39.000,-997204796.083
40.000,-997204796.083
41.000,-997204716.959
42.000,-997204796.083
43.000,-997204796.083
44.000,-997204875.206
45.000,-997204875.206
46.000,-997204796.083
47.000,-997204796.083
48.000,-997204796.083
49.000,-997204716.959
50.000,-997204796.083
51.000,-997204796.083
52.000,-997204796.083
53.000,-997204875.206
54.000,-997204875.206
55.000,-997204796.083
56.000,-997204796.083
57.000,-997204716.959
58.000,-997204716.959
59.000,-997204796.083
60.000,-997204796.083
61.000,-997204875.206
62.000,-997204875.206
63.000,-997204796.083
64.000,-997204796.083
65.000,-997204796.083
66.000,-997204716.959
67.000,-997204796.083
68.000,-997204796.083
69.000,-997204796.083
70.000,-997204875.206
71.000,-997204875.206
72.000,-997204796.083
73.000,-997204796.083
74.000,-997204796.083
75.000,-997204796.083
76.000,-997204796.083
77.000,-997204796.083
78.000,-997204796.083
79.000,-997204796.083
80.000,-997204796.083
81.000,-997204796.083
82.000,-997204796.083
83.000,-997204796.083
84.000,-997204796.083
85.000,-997204796.083
86.000,-997204796.083
87.000,-997204796.083
88.000,-997204796.083
89.000,-997204796.083
90.000,-997204796.083
91.000,-997204796.083
92.000,-997204796.083
93.000,-997204796.083
94.000,-997204796.083
95.000,-997204796.083
96.000,-997204796.083
97.000,-997204796.083
98.000,-997204716.959
99.000,-997204716.959
100.000,-997204796.083
101.000,-997204796.083
102.000,-997204796.083
103.000,-997204875.206
104.000,-997204875.206
105.000,-997204796.083
106.000,-997204796.083
107.000,-997204716.959
108.000,-997204716.959
109.000,-997204796.083
110.000,-997204796.083
111.000,-997204875.206
112.000,-997204875.206
113.000,-997204796.083
114.000,-997204796.083
115.000,-997204716.959
116.000,-997204716.959
117.000,-997204716.959
118.000,-997204796.083
119.000,-997204796.083
120.000,-997204875.206
121.000,-997204875.206
122.000,-997204796.083
123.000,-997204796.083
124.000,-997204716.959
125.000,-997204716.959
126.000,-997204716.959
127.000,-997204796.083
128.000,-997204796.083
129.000,-997204796.083
130.000,-997204796.083
131.000,-997204796.083
132.000,-997204716.959
133.000,-997204716.959
134.000,-997204716.959
135.000,-997204796.083
136.000,-997204796.083
137.000,-997204796.083
138.000,-997204796.083
139.000,-997204796.083
140.000,-997204716.959
141.000,-997204716.959
142.000,-997204716.959
143.000,-997204796.083
144.000,-997204796.083
145.000,-997204796.083
146.000,-997204796.083
147.000,-997204796.083
148.000,-997204716.959
149.000,-997204716.959
150.000,-997204716.959
151.000,-997204796.083
152.000,-997204796.083
153.000,-997204796.083
154.000,-997204796.083
155.000,-997204796.083
156.000,-997204716.959
157.000,-997204716.959
158.000,-997204716.959
159.000,-997204716.959
160.000,-997204796.083
161.000,-997204796.083
162.000,-997204796.083
163.000,-997204796.083
164.000,-997204716.959
165.000,-997204716.959
166.000,-997204716.959
167.000,-997204716.959
168.000,-997204716.959
169.000,-997204796.083
170.000,-997204796.083
171.000,-997204796.083
172.000,-997204796.083
173.000,-997204716.959
174.000,-997204716.959
175.000,-997204716.959
176.000,-997204716.959
177.000,-997204796.083
178.000,-997204796.083
179.000,-997204796.083
180.000,-997204796.083
181.000,-997204716.959
182.000,-997204716.959
183.000,-997204716.959
184.000,-997204716.959
185.000,-997204716.959
186.000,-997204796.083
187.000,-997204796.083
188.000,-997204796.083
189.000,-997204716.959
190.000,-997204716.959
191.000,-997204716.959
192.000,-997204716.959
193.000,-997204716.959
194.000,-997204716.959
195.000,-997204796.083
196.000,-997204796.083
197.000,-997204716.959
198.000,-997204716.959
199.000,-997204716.959
200.000,-997204716.959
201.000,-997204716.959
202.000,-997204716.959
203.000,-997204716.959
204.000,-997204716.959
205.000,-997204716.959
206.000,-997204716.959
207.000,-997204716.959
208.000,-997204716.959
209.000,-997204716.959
210.000,-997204716.959
211.000,-997204716.959
212.000,-997204716.959
213.000,-997204716.959
214.000,-997204716.959
215.000,-997204637.835
216.000,-997204637.835
217.000,-997204716.959
218.000,-997204716.959
219.000,-997204716.959
220.000,-997204716.959
221.000,-997204716.959
222.000,-997204716.959
223.000,-997204637.835
224.000,-997204637.835
225.000,-997204637.835
226.000,-997204716.959
227.000,-997204716.959
228.000,-997204716.959
229.000,-997204716.959
230.000,-997204716.959
231.000,-997204637.835
232.000,-997204637.835
233.000,-997204637.835
234.000,-997204637.835
235.000,-997204716.959
236.000,-997204716.959
237.000,-997204716.959
238.000,-997204716.959
239.000,-997204716.959
240.000,-997204637.835
241.000,-997204637.835
242.000,-997204637.835
243.000,-997204716.959
244.000,-997204716.959
245.000,-997204716.959
246.000,-997204716.959
247.000,-997204716.959
248.000,-997204637.835
249.000,-997204637.835
250.000,-997204637.835
251.000,-997204637.835
252.000,-997204716.959
253.000,-997204716.959
254.000,-997204716.959
255.000,-997204716.959
256.000,-997204637.835
257.000,-997204637.835
258.000,-997204637.835
259.000,-997204637.835
260.000,-997204716.959
261.000,-997204716.959
262.000,-997204716.959
263.000,-997204716.959
264.000,-997204637.835
265.000,-997204637.835
266.000,-997204637.835
267.000,-997204637.835
268.000,-997204637.835
269.000,-997204716.959
